Best: 0.696970 using {'batch_size': 10, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 11}
Best: 0.831650 using {'epochs': 100, 'optimizer': 'adam', 'nodes': 16, 'init': 'uniform', 'activation': 'sigmoid', 'batch_size': 5, 'loss': 'binary_crossentropy'}
73.40% (6.41%) with: {'epochs': 100, 'optimizer': 'rmsprop', 'nodes': 16, 'init': 'normal', 'activation': 'sigmoid', 'batch_size': 5, 'loss': 'binary_crossentropy'}
62.63% (1.43%) with: {'epochs': 100, 'optimizer': 'sgd', 'nodes': 16, 'init': 'normal', 'activation': 'sigmoid', 'batch_size': 5, 'loss': 'binary_crossentropy'}
82.49% (4.15%) with: {'epochs': 100, 'optimizer': 'adam', 'nodes': 16, 'init': 'normal', 'activation': 'sigmoid', 'batch_size': 5, 'loss': 'binary_crossentropy'}
82.83% (2.18%) with: {'epochs': 100, 'optimizer': 'rmsprop', 'nodes': 16, 'init': 'uniform', 'activation': 'sigmoid', 'batch_size': 5, 'loss': 'binary_crossentropy'}
63.30% (5.79%) with: {'epochs': 100, 'optimizer': 'sgd', 'nodes': 16, 'init': 'uniform', 'activation': 'sigmoid', 'batch_size': 5, 'loss': 'binary_crossentropy'}
83.16% (3.33%) with: {'epochs': 100, 'optimizer': 'adam', 'nodes': 16, 'init': 'uniform', 'activation': 'sigmoid', 'batch_size': 5, 'loss': 'binary_crossentropy'}

Best: 0.824916 using {'epochs': 100, 'nodes': 11, 'optimizer': 'adam', 'init': 'uniform', 'loss': 'binary_crossentropy', 'batch_size': 5, 'activation': 'relu'}
76.43% (2.38%) with: {'epochs': 100, 'nodes': 11, 'optimizer': 'adam', 'init': 'normal', 'loss': 'binary_crossentropy', 'batch_size': 5, 'activation': 'relu'}
82.49% (1.90%) with: {'epochs': 100, 'nodes': 11, 'optimizer': 'adam', 'init': 'uniform', 'loss': 'binary_crossentropy', 'batch_size': 5, 'activation': 'relu'}
79.46% (2.38%) with: {'epochs': 150, 'nodes': 11, 'optimizer': 'adam', 'init': 'normal', 'loss': 'binary_crossentropy', 'batch_size': 5, 'activation': 'relu'}
80.81% (1.65%) with: {'epochs': 150, 'nodes': 11, 'optimizer': 'adam', 'init': 'uniform', 'loss': 'binary_crossentropy', 'batch_size': 5, 'activation': 'relu'}


Best: 0.841751 using {'optimizer': 'adam', 'epochs': 100, 'loss': 'binary_crossentropy', 'activation': 'relu', 'init': 'uniform', 'batch_size': 10, 'nodes': 11}
82.15% (1.26%) with: {'optimizer': 'adam', 'epochs': 100, 'loss': 'binary_crossentropy', 'activation': 'relu', 'init': 'normal', 'batch_size': 10, 'nodes': 11}
84.18% (1.26%) with: {'optimizer': 'adam', 'epochs': 100, 'loss': 'binary_crossentropy', 'activation': 'relu', 'init': 'uniform', 'batch_size': 10, 'nodes': 11}
78.45% (3.72%) with: {'optimizer': 'adam', 'epochs': 150, 'loss': 'binary_crossentropy', 'activation': 'relu', 'init': 'normal', 'batch_size': 10, 'nodes': 11}
82.83% (1.65%) with: {'optimizer': 'adam', 'epochs': 150, 'loss': 'binary_crossentropy', 'activation': 'relu', 'init': 'uniform', 'batch_size': 10, 'nodes': 11}

Best: 0.835017 using {'rate': 0.2, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'normal', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
82.15% (1.26%) with: {'rate': 0, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'normal', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
83.16% (0.95%) with: {'rate': 0.1, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'normal', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
80.47% (2.08%) with: {'rate': 0.15, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'normal', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
83.50% (3.43%) with: {'rate': 0.2, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'normal', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
80.13% (2.65%) with: {'rate': 0.25, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'normal', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
81.14% (1.26%) with: {'rate': 0.3, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'normal', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
79.12% (1.26%) with: {'rate': 0.35, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'normal', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
81.14% (2.90%) with: {'rate': 0.4, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'normal', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
81.82% (0.82%) with: {'rate': 0.45, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'normal', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
77.10% (2.38%) with: {'rate': 0.5, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'normal', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
81.14% (0.48%) with: {'rate': 0, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'uniform', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
82.49% (0.48%) with: {'rate': 0.1, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'uniform', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
82.15% (1.26%) with: {'rate': 0.15, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'uniform', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
81.14% (2.38%) with: {'rate': 0.2, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'uniform', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
82.15% (1.72%) with: {'rate': 0.25, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'uniform', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
81.82% (3.59%) with: {'rate': 0.3, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'uniform', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
82.49% (1.26%) with: {'rate': 0.35, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'uniform', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
82.83% (0.82%) with: {'rate': 0.4, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'uniform', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
80.47% (2.90%) with: {'rate': 0.45, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'uniform', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}
82.15% (1.90%) with: {'rate': 0.5, 'activation': 'relu', 'batch_size': 10, 'loss': 'binary_crossentropy', 'init': 'uniform', 'nodes': 11, 'optimizer': 'adam', 'epochs': 100}

Best: 0.845118 using {'init': 'uniform', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.25, 'batch_size': 5, 'optimizer': 'adam'}
78.11% (4.54%) with: {'init': 'normal', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0, 'batch_size': 5, 'optimizer': 'adam'}
84.18% (1.72%) with: {'init': 'normal', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.1, 'batch_size': 5, 'optimizer': 'adam'}
82.15% (2.52%) with: {'init': 'normal', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.15, 'batch_size': 5, 'optimizer': 'adam'}
84.18% (2.08%) with: {'init': 'normal', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.2, 'batch_size': 5, 'optimizer': 'adam'}
83.16% (1.90%) with: {'init': 'normal', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.25, 'batch_size': 5, 'optimizer': 'adam'}
83.84% (2.47%) with: {'init': 'normal', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.3, 'batch_size': 5, 'optimizer': 'adam'}
80.81% (2.86%) with: {'init': 'normal', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.35, 'batch_size': 5, 'optimizer': 'adam'}
81.14% (5.30%) with: {'init': 'normal', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.4, 'batch_size': 5, 'optimizer': 'adam'}
78.45% (4.07%) with: {'init': 'normal', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.45, 'batch_size': 5, 'optimizer': 'adam'}
83.50% (0.48%) with: {'init': 'normal', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.5, 'batch_size': 5, 'optimizer': 'adam'}
82.49% (0.48%) with: {'init': 'uniform', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0, 'batch_size': 5, 'optimizer': 'adam'}
84.18% (1.90%) with: {'init': 'uniform', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.1, 'batch_size': 5, 'optimizer': 'adam'}
82.15% (1.26%) with: {'init': 'uniform', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.15, 'batch_size': 5, 'optimizer': 'adam'}
83.84% (1.65%) with: {'init': 'uniform', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.2, 'batch_size': 5, 'optimizer': 'adam'}
84.51% (0.95%) with: {'init': 'uniform', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.25, 'batch_size': 5, 'optimizer': 'adam'}
79.46% (3.43%) with: {'init': 'uniform', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.3, 'batch_size': 5, 'optimizer': 'adam'}
81.14% (4.69%) with: {'init': 'uniform', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.35, 'batch_size': 5, 'optimizer': 'adam'}
80.13% (0.95%) with: {'init': 'uniform', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.4, 'batch_size': 5, 'optimizer': 'adam'}
82.83% (3.30%) with: {'init': 'uniform', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.45, 'batch_size': 5, 'optimizer': 'adam'}
80.81% (2.97%) with: {'init': 'uniform', 'nodes': 11, 'loss': 'binary_crossentropy', 'activation': 'sigmoid', 'epochs': 100, 'rate': 0.5, 'batch_size': 5, 'optimizer': 'adam'}


Best: 0.831650 using {'optimizer': 'adam', 'init': 'uniform', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.15, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
78.11% (4.54%) with: {'optimizer': 'adam', 'init': 'normal', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
82.49% (0.95%) with: {'optimizer': 'adam', 'init': 'normal', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.1, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
80.81% (1.65%) with: {'optimizer': 'adam', 'init': 'normal', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.15, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
80.47% (0.95%) with: {'optimizer': 'adam', 'init': 'normal', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.2, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
82.83% (2.18%) with: {'optimizer': 'adam', 'init': 'normal', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.25, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
83.16% (0.95%) with: {'optimizer': 'adam', 'init': 'normal', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.3, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
82.15% (1.26%) with: {'optimizer': 'adam', 'init': 'normal', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.35, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
80.47% (3.12%) with: {'optimizer': 'adam', 'init': 'normal', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.4, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
82.15% (1.90%) with: {'optimizer': 'adam', 'init': 'normal', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.45, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
82.15% (1.72%) with: {'optimizer': 'adam', 'init': 'normal', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.5, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
77.78% (2.18%) with: {'optimizer': 'adam', 'init': 'uniform', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
80.13% (2.52%) with: {'optimizer': 'adam', 'init': 'uniform', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.1, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
83.16% (3.33%) with: {'optimizer': 'adam', 'init': 'uniform', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.15, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
77.78% (2.18%) with: {'optimizer': 'adam', 'init': 'uniform', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.2, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
82.83% (2.97%) with: {'optimizer': 'adam', 'init': 'uniform', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.25, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
82.15% (3.90%) with: {'optimizer': 'adam', 'init': 'uniform', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.3, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
80.81% (1.65%) with: {'optimizer': 'adam', 'init': 'uniform', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.35, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
82.15% (1.26%) with: {'optimizer': 'adam', 'init': 'uniform', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.4, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
83.16% (2.38%) with: {'optimizer': 'adam', 'init': 'uniform', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.45, 'epochs': 100, 'batch_size': 5, 'nodes': 11}
81.48% (2.08%) with: {'optimizer': 'adam', 'init': 'uniform', 'activation': 'sigmoid', 'loss': 'binary_crossentropy', 'rate': 0.5, 'epochs': 100, 'batch_size': 5, 'nodes': 11}


Best: 0.848485 using {'batch_size': 10, 'activation': 'relu', 'loss': 'binary_crossentropy', 'init': 'uniform', 'optimizer': 'adam', 'rate': 0, 'epochs': 100, 'nodes': 4}
Deeper Network with 11 hidden nodes in layer 1 81.48% (2.08%) with: {'batch_size': 10, 'activation': 'relu', 'loss': 'binary_crossentropy', 'init': 'normal', 'optimizer': 'adam', 'rate': 0, 'epochs': 100, 'nodes': 2}
Deeper Network with 11 hidden nodes in layer 1 83.16% (2.08%) with: {'batch_size': 10, 'activation': 'relu', 'loss': 'binary_crossentropy', 'init': 'normal', 'optimizer': 'adam', 'rate': 0, 'epochs': 100, 'nodes': 3}
Deeper Network with 11 hidden nodes in layer 1 70.71% (12.96%) with: {'batch_size': 10, 'activation': 'relu', 'loss': 'binary_crossentropy', 'init': 'normal', 'optimizer': 'adam', 'rate': 0, 'epochs': 100, 'nodes': 4}
Deeper Network with 11 hidden nodes in layer 1 82.83% (2.97%) with: {'batch_size': 10, 'activation': 'relu', 'loss': 'binary_crossentropy', 'init': 'normal', 'optimizer': 'adam', 'rate': 0, 'epochs': 100, 'nodes': 5}
Deeper Network with 11 hidden nodes in layer 1 83.50% (3.72%) with: {'batch_size': 10, 'activation': 'relu', 'loss': 'binary_crossentropy', 'init': 'normal', 'optimizer': 'adam', 'rate': 0, 'epochs': 100, 'nodes': 6}
Deeper Network with 11 hidden nodes in layer 1 84.18% (2.90%) with: {'batch_size': 10, 'activation': 'relu', 'loss': 'binary_crossentropy', 'init': 'normal', 'optimizer': 'adam', 'rate': 0, 'epochs': 100, 'nodes': 7}
Deeper Network with 11 hidden nodes in layer 1 70.71% (12.88%) with: {'batch_size': 10, 'activation': 'relu', 'loss': 'binary_crossentropy', 'init': 'uniform', 'optimizer': 'adam', 'rate': 0, 'epochs': 100, 'nodes': 2}
Deeper Network with 11 hidden nodes in layer 1 80.81% (2.18%) with: {'batch_size': 10, 'activation': 'relu', 'loss': 'binary_crossentropy', 'init': 'uniform', 'optimizer': 'adam', 'rate': 0, 'epochs': 100, 'nodes': 3}
Deeper Network with 11 hidden nodes in layer 1 84.85% (2.47%) with: {'batch_size': 10, 'activation': 'relu', 'loss': 'binary_crossentropy', 'init': 'uniform', 'optimizer': 'adam', 'rate': 0, 'epochs': 100, 'nodes': 4}
Deeper Network with 11 hidden nodes in layer 1 76.09% (7.39%) with: {'batch_size': 10, 'activation': 'relu', 'loss': 'binary_crossentropy', 'init': 'uniform', 'optimizer': 'adam', 'rate': 0, 'epochs': 100, 'nodes': 5}
Deeper Network with 11 hidden nodes in layer 1 72.73% (14.38%) with: {'batch_size': 10, 'activation': 'relu', 'loss': 'binary_crossentropy', 'init': 'uniform', 'optimizer': 'adam', 'rate': 0, 'epochs': 100, 'nodes': 6}
Deeper Network with 11 hidden nodes in layer 1 82.15% (1.72%) with: {'batch_size': 10, 'activation': 'relu', 'loss': 'binary_crossentropy', 'init': 'uniform', 'optimizer': 'adam', 'rate': 0, 'epochs': 100, 'nodes': 7}


Best: 0.855219 using {'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 10, 'init': 'uniform', 'activation': 'relu', 'optimizer': 'adam', 'rate': 0, 'batch_size': 10}
Deeper Network with 11 hidden nodes in layer 1 78.11% (3.33%) with: {'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 8, 'init': 'normal', 'activation': 'relu', 'optimizer': 'adam', 'rate': 0, 'batch_size': 10}
Deeper Network with 11 hidden nodes in layer 1 82.15% (2.38%) with: {'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 9, 'init': 'normal', 'activation': 'relu', 'optimizer': 'adam', 'rate': 0, 'batch_size': 10}
Deeper Network with 11 hidden nodes in layer 1 81.48% (0.48%) with: {'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 10, 'init': 'normal', 'activation': 'relu', 'optimizer': 'adam', 'rate': 0, 'batch_size': 10}
Deeper Network with 11 hidden nodes in layer 1 82.15% (3.90%) with: {'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 11, 'init': 'normal', 'activation': 'relu', 'optimizer': 'adam', 'rate': 0, 'batch_size': 10}
Deeper Network with 11 hidden nodes in layer 1 82.15% (3.12%) with: {'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 12, 'init': 'normal', 'activation': 'relu', 'optimizer': 'adam', 'rate': 0, 'batch_size': 10}
Deeper Network with 11 hidden nodes in layer 1 84.51% (2.52%) with: {'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 13, 'init': 'normal', 'activation': 'relu', 'optimizer': 'adam', 'rate': 0, 'batch_size': 10}
Deeper Network with 11 hidden nodes in layer 1 78.79% (2.86%) with: {'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 8, 'init': 'uniform', 'activation': 'relu', 'optimizer': 'adam', 'rate': 0, 'batch_size': 10}
Deeper Network with 11 hidden nodes in layer 1 81.14% (3.33%) with: {'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 9, 'init': 'uniform', 'activation': 'relu', 'optimizer': 'adam', 'rate': 0, 'batch_size': 10}
Deeper Network with 11 hidden nodes in layer 1 85.52% (2.38%) with: {'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 10, 'init': 'uniform', 'activation': 'relu', 'optimizer': 'adam', 'rate': 0, 'batch_size': 10}
Deeper Network with 11 hidden nodes in layer 1 77.44% (5.49%) with: {'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 11, 'init': 'uniform', 'activation': 'relu', 'optimizer': 'adam', 'rate': 0, 'batch_size': 10}
Deeper Network with 11 hidden nodes in layer 1 83.50% (1.26%) with: {'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 12, 'init': 'uniform', 'activation': 'relu', 'optimizer': 'adam', 'rate': 0, 'batch_size': 10}
Deeper Network with 11 hidden nodes in layer 1 81.48% (1.72%) with: {'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 13, 'init': 'uniform', 'activation': 'relu', 'optimizer': 'adam', 'rate': 0, 'batch_size': 10}


Best: 0.845118 using {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.4, 'init': 'normal', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 79.46% (3.12%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0, 'init': 'normal', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 83.16% (1.72%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.05, 'init': 'normal', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 80.13% (1.26%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.1, 'init': 'normal', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 80.81% (3.59%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.15, 'init': 'normal', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 81.82% (2.18%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.2, 'init': 'normal', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 82.49% (1.26%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.25, 'init': 'normal', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 83.16% (3.33%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.3, 'init': 'normal', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 79.12% (2.38%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.35, 'init': 'normal', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 84.51% (1.72%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.4, 'init': 'normal', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 78.11% (4.54%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.45, 'init': 'normal', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 77.78% (2.47%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.5, 'init': 'normal', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 82.49% (1.26%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0, 'init': 'uniform', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 81.48% (2.08%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.05, 'init': 'uniform', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 82.15% (2.65%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.1, 'init': 'uniform', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 73.74% (15.14%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.15, 'init': 'uniform', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 82.83% (0.82%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.2, 'init': 'uniform', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 82.83% (1.43%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.25, 'init': 'uniform', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 81.82% (1.43%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.3, 'init': 'uniform', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 81.14% (2.08%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.35, 'init': 'uniform', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 83.84% (1.65%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.4, 'init': 'uniform', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 83.16% (2.52%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.45, 'init': 'uniform', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}
Deeper Network with 11 hidden nodes in layer 1 80.81% (0.82%) with: {'loss': 'binary_crossentropy', 'batch_size': 10, 'rate': 0.5, 'init': 'uniform', 'nodes': 10, 'optimizer': 'adam', 'epochs': 100, 'activation': 'relu'}



Best: 0.845118 using {'optimizer': 'adam', 'batch_size': 5, 'init': 'uniform', 'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 10, 'rate': 0, 'activation': 'sigmoid'}
Deeper Network with 11 hidden nodes in layer 1 78.11% (4.54%) with: {'optimizer': 'adam', 'batch_size': 5, 'init': 'normal', 'epochs': 100, 'loss': 'binary_crossentropy', 'nodes': 10, 'rate': 0, 'activation': 'sigmoid'}
